English,Marathi
economist,अर्थशास्त्रज्ञ
fifteen,पंधरा
soup,सूप
celebration,उत्सव
efficient,कार्यक्षम
damage,नुकसान
composition,रचना
satisfy,संतुष्ट करणे
pile,ढीग
briefly,थोडक्यात
carbon,कार्बन
closer,जवळ
consume,सेवन
scheme,योजना
crack,क्रॅक
frequency,वारंवारता
tobacco,तंबाखू
survivor,वाचलेला
besides,याशिवाय
in,मध्ये
psychologist,मानसशास्त्रज्ञ
wealthy,श्रीमंत
galaxy,आकाशगंगा
given,दिले
fund,निधी
ski,स्की
limitation,मर्यादा
OK,ठीक आहे
trace,ट्रेस
appointment,भेट
preference,प्राधान्य
meter,मीटर
explosion,स्फोट
arrest,अटक
publicly,सार्वजनिकपणे
incredible,अविश्वसनीय
fighter,लढाऊ
rapid,जलद
admission,प्रवेश
hunter,शिकारी
educate,शिकवणे
painful,वेदनादायक
friendship,मैत्री
aide,सहाय्यक
infant,अर्भक
calculate,गणना करा
fifty,पन्नास
rid,सुटका
porch,पोर्च
tendency,प्रवृत्ती
uniform,एकसमान
formation,निर्मिती
scholarship,शिष्यवृत्ती
reservation,आरक्षण
efficiency,कार्यक्षमता
waste,कचरा
qualify,पात्र
mall,मॉल
derive,मिळवणे
scandal,घोटाळा
PC,पीसी
helpful,उपयुक्त
impress,प्रभावित करणे
heel,टाच
resemble,सारखे असणे
privacy,गोपनीयता
fabric,फॅब्रिक
surprise,आश्चर्य
contest,स्पर्धा
proportion,प्रमाण
guideline,मार्गदर्शक सूचना
rifle,रायफल
maintenance,देखभाल
conviction,खात्री
trick,युक्ती
organic,सेंद्रिय
tent,तंबू
examination,परीक्षा
publisher,प्रकाशक
strengthen,मजबूत करणे
French,फ्रेंच
proposed,प्रस्तावित
myth,मिथक
sophisticated,अत्याधुनिक
cow,गाय
etc,इ
standing,उभे
asleep,झोपलेला
tennis,टेनिस
nerve,मज्जातंतू
barrel,बंदुकीची नळी
bombing,बॉम्बस्फोट
membership,सदस्यत्व
ratio,प्रमाण
menu,मेनू
purchase,खरेदी
controversial,वादग्रस्त
desperate,हताश
rate,दर
lifestyle,जीवनशैली
humor,विनोद
loud,जोरात
glove,हातमोजा
suspect,संशयित
sufficient,पुरेसे
narrative,कथा
photographer,छायाचित्रकार
helicopter,हेलिकॉप्टर
Catholic,कॅथोलिक
modest,विनम्र
provider,प्रदाता
delay,विलंब
agricultural,कृषी
explode,एकदम बाहेर पडणे
stroke,स्ट्रोक
scope,व्याप्ती
punishment,शिक्षा
handful,मूठभर
badly,वाईटरित्या
horizon,क्षितीज
curious,उत्सुक
downtown,डाउनटाउन
girlfriend,मैत्रीण
prompt,प्रॉम्प्ट
request,विनंती
cholesterol,कोलेस्टेरॉल
absorb,शोषून घेणे
adjustment,समायोजन
taxpayer,करदाता
eager,उत्सुक
principal,प्राचार्य
detailed,तपशीलवार
motivation,प्रेरणा
assignment,असाइनमेंट
restriction,निर्बंध
across,ओलांडून
Palestinian,पॅलेस्टिनी
laboratory,प्रयोगशाळा
workshop,कार्यशाळा
differently,वेगळ्या पद्धतीने
auto,ऑटो
romantic,रोमँटिक
cotton,कापूस
motor,मोटर
sue,खटला
flavor,चव
overlook,दुर्लक्ष करणे
float,फ्लोट
undergo,सहन करणे
sequence,क्रम
demonstration,प्रात्यक्षिक
jet,जेट
orange,संत्रा
consumption,वापर
assert,ठामपणे
blade,ब्लेड
temporary,तात्पुरता
medication,औषधोपचार
print,छापणे
cabin,केबिन
bite,चावणे
relative,नातेवाईक
edition,आवृत्ती
valley,दरी
yours,तुमचे
pitch,खेळपट्टी
pine,झुरणे
brilliant,तल्लख
versus,विरुद्ध
manufacturing,उत्पादन
risk,धोका
Christian,ख्रिश्चन
complex,जटिल
absolute,निरपेक्ष
chef,आचारी
discrimination,भेदभाव
offensive,आक्षेपार्ह
German,जर्मन
suit,सूट
boom,बूम
register,नोंदणी करा
appoint,नियुक्त करा
heritage,वारसा
God,देव
terrorist,दहशतवादी
dominant,प्रबळ
successfully,यशस्वीरित्या
shit,बकवास
lemon,लिंबू
hungry,भुकेले
sense,अर्थ
dry,कोरडे
wander,भटकणे
submit,प्रस्तुत करणे
economics,अर्थशास्त्र
naked,नग्न
anticipate,अंदाज
nut,नट
legacy,वारसा
extension,विस्तार
shrug,खांदे उडवणे
fly,उडणे
battery,बॅटरी
arrival,आगमन
legitimate,कायदेशीर
orientation,अभिमुखता
inflation,महागाई
cope,सामना
flame,ज्योत
cluster,क्लस्टर
host,यजमान
wound,जखम
dependent,अवलंबून
shower,शॉवर
institutional,संस्थात्मक
depict,चित्रण
operating,कार्यरत
flesh,मांस
garage,गॅरेज
operator,ऑपरेटर
instructor,प्रशिक्षक
collapse,कोसळणे
borrow,कर्ज घेणे
furthermore,शिवाय
comedy,विनोदी
mortgage,गहाण
sanction,मंजुरी
civilian,नागरी
twelve,बारा
weekly,साप्ताहिक
habitat,निवासस्थान
grain,धान्य
brush,ब्रश
consciousness,शुद्धी
devote,समर्पित
crack,क्रॅक
measurement,मोजमाप
province,प्रांत
ease,सहजता
seize,जप्त
ethics,नैतिकता
nomination,नामांकन
permission,परवानगी
wise,ज्ञानी
actress,अभिनेत्री
summit,शिखर
acid,आम्ल
odds,शक्यता
gifted,भेटवस्तू
frustration,निराशा
medium,मध्यम
function,कार्य
physically,शारीरिकदृष्ट्या
grant,अनुदान
distinguish,वेगळे करणे
shore,किनारा
repeatedly,वारंवार
lung,फुफ्फुस
firm,टणक
running,धावणे
correct,योग्य
distinct,वेगळे
artistic,कलात्मक
discourse,प्रवचन
basket,टोपली
ah,आह
fighting,लढाई
impressive,प्रभावशाली
competitor,स्पर्धक
ugly,कुरुप
worried,काळजीत
portray,चित्रण
powder,पावडर
ghost,भूत
persuade,मन वळवणे
moderate,मध्यम
subsequent,त्यानंतरचे
continued,चालू ठेवले
cookie,कुकी
carrier,वाहक
cooking,स्वयंपाक
frequent,वारंवार
ban,बंदी
swing,स्विंग
orange,संत्रा
awful,भयानक
admire,प्रशंसा
pet,पाळीव प्राणी
miracle,चमत्कार
exceed,जास्त
rhythm,ताल
widespread,व्यापक
killing,हत्या
lovely,सुंदर
sin,पाप
charity,धर्मादाय
script,स्क्रिप्ट
tactic,युक्ती
identification,ओळख
transformation,परिवर्तन
everyday,रोज
headline,मथळा
crash,आपटी
venture,उपक्रम
invasion,आक्रमण
military,लष्करी
nonetheless,तरीही
adequate,पुरेसे
piano,पियानो
grocery,किराणा
intensity,तीव्रता
exhibit,प्रदर्शन
high,उच्च
blanket,घोंगडी
margin,समास
principal,प्राचार्य
quarterback,क्वार्टरबॅक
mouse,उंदीर
rope,दोरी
concrete,ठोस
prescription,प्रिस्क्रिप्शन
African-American,आफ्रिकन-अमेरिकन
chase,पाठलाग
document,दस्तऐवज
brick,वीट
recruit,भरती
patch,पॅच
consensus,एकमत
horror,भयपट
recording,मुद्रित करणे
changing,बदलत आहे
painter,चित्रकार
colonial,वसाहती
pie,पाई
sake,कारण
gaze,टक लावून पाहणे
courage,धैर्य
pregnancy,गर्भधारणा
swear,शपथ
defeat,पराभव
clue,सुगावा
reinforce,मजबुतीकरण
win,जिंकणे
confusion,गोंधळ
slice,तुकडा
occupation,व्यवसाय
dear,प्रिय
coal,कोळसा
sacred,पवित्र
criminal,गुन्हेगार
formula,सुत्र
cognitive,संज्ञानात्मक
collective,सामूहिक
exact,अचूक
uncle,काका
square,चौरस
captain,कर्णधार
sigh,उसासा
attribute,विशेषता
dare,धाडस
okay,ठीक आहे
homeless,बेघर
cool,थंड
gallery,गॅलरी
soccer,सॉकर
defendant,प्रतिवादी
tunnel,बोगदा
fitness,फिटनेस
lap,लॅप
grave,कबर
toe,पायाचे बोट
container,कंटेनर
virtue,पुण्य
abroad,परदेशात
architect,वास्तुविशारद
dramatically,नाटकीय
makeup,मेकअप
inquiry,चौकशी
rose,गुलाब
surprisingly,आश्चर्याची गोष्ट
highlight,हायलाइट
decrease,कमी
indication,संकेत
rail,रेल्वे
anniversary,वर्धापनदिन
couch,पलंग
alliance,युती
hypothesis,गृहीतक
boyfriend,प्रियकर
compose,तयार करा
peer,समवयस्क
mess,गोंधळ
rank,रँक
legend,आख्यायिका
regulate,नियमन करणे
adolescent,पौगंडावस्थेतील
shine,चमकणे
norm,नियम
upset,नाराज
remark,टिप्पणी
resign,राजीनामा
reward,प्रतिफळ भरून पावले
gentle,सौम्य
related,संबंधित
organ,अवयव
lightly,हलके
concerning,संबंधित
invent,शोध लावणे
laughter,हशा
fit,फिट
northwest,उत्तर पश्चिम
counseling,समुपदेशन
tight,घट्ट
receiver,प्राप्तकर्ता
ritual,विधी
insect,कीटक
interrupt,व्यत्यय
salmon,सॅल्मन
favor,अनुकूलता
trading,व्यापार
concern,चिंता
magic,जादू
superior,श्रेष्ठ
combat,लढाई
stem,खोड
surgeon,सर्जन
acceptable,स्वीकार्य
physics,भौतिकशास्त्र
rape,बलात्कार
counsel,सल्ला
brush,ब्रश
jeans,जीन्स
hunt,शिकार
continuous,सतत
log,लॉग
echo,प्रतिध्वनी
pill,गोळी
excited,उत्साहित
sculpture,शिल्प
compound,कंपाऊंड
integrate,समाकलित करा
flour,पीठ
bitter,कडू
bare,उघडे
slope,उतार
rent,भाडे
presidency,अध्यक्षपद
serving,सेवा देत आहे
subtle,सूक्ष्म
greatly,मोठ्या प्रमाणावर
bishop,बिशप
drinking,मद्यपान
delay,विलंब
cry,रडणे
acceptance,स्वीकृती
collapse,कोसळणे
shop,दुकान
pump,पंप
candy,कँडी
evil,वाईट
final,अंतिम
finance,वित्त
pleased,आनंद
medal,पदक
beg,भीक मागणे
sponsor,प्रायोजक
ethical,नैतिक
secondary,दुय्यम
slam,स्लॅम
export,निर्यात
experimental,प्रायोगिक
melt,वितळणे
midnight,मध्यरात्री
net,निव्वळ
curve,वक्र
integrity,अखंडता
entitle,हक्क
evident,स्पष्ट
logic,तर्कशास्त्र
essence,सार
park,पार्क
exclude,वगळा
harsh,कठोर
closet,कपाट
suburban,उपनगरी
greet,अभिवादन
favor,अनुकूलता
interior,आतील
corridor,कॉरिडॉर
murder,खून
retail,किरकोळ
pitcher,पिचर
march,मार्च
snake,साप
pitch,खेळपट्टी
excuse,माफ करा
cross,फुली
weakness,अशक्तपणा
pig,डुक्कर
cold,थंड
classical,शास्त्रीय
estimated,अंदाज
T-shirt,टी-शर्ट
online,ऑनलाइन
unemployment,बेरोजगारी
civilization,सभ्यता
fold,पट
patient,रुग्ण
pop,पॉप
daily,दररोज
reverse,उलट
missing,गहाळ
correlation,सहसंबंध
humanity,मानवता
flash,फ्लॅश
developer,विकसक
reliable,विश्वसनीय
excitement,उत्साह
beef,गोमांस
Islam,इस्लाम
Roman,रोमन
stretch,ताणून लांब करणे
architecture,आर्किटेक्चर
occasional,अधूनमधून
administrative,प्रशासकीय
elbow,कोपर
deadly,प्राणघातक
Muslim,मुसलमान
Hispanic,हिस्पॅनिक
allegation,आरोप
tip,टीप
confuse,गोंधळात टाकणे
airplane,विमान
monthly,मासिक
duck,बदक
dose,डोस
Korean,कोरियन
plead,विनवणी
initiate,आरंभ करणे
lecture,व्याख्यान
van,व्हॅन
sixth,सहावा
bay,खाडी
mainstream,मुख्य प्रवाहात
suburb,उपनगर
sandwich,सँडविच
unlike,विपरीत
trunk,खोड
rumor,अफवा
implementation,अंमलबजावणी
swallow,गिळणे
motivate,प्रेरित करणे
render,प्रस्तुत करणे
longtime,दीर्घकाळ
trap,सापळा
restrict,प्रतिबंधित
cloth,कापड
seemingly,वरवर
legislative,विधान
effectiveness,परिणामकारकता
enforce,अंमलबजावणी करणे
lens,लेन्स
reach,पोहोचणे
inspector,निरीक्षक
lend,कर्ज देणे
plain,साधा
fraud,फसवणूक
companion,सहचर
contend,भांडणे
nail,नखे
array,रचना
strict,कडक
assemble,एकत्र करणे
frankly,मोकळेपणाने
rat,उंदीर
burst,फुटणे
hallway,हॉलवे
cave,गुहा
inevitable,अपरिहार्य
southwest,नैऋत्य
monster,राक्षस
speed,गती
protest,निषेध
unexpected,अनपेक्षित
obstacle,अडथळा
facilitate,सोय करणे
encounter,भेटणे
rip,फाडणे
herb,औषधी वनस्पती
overwhelming,जबरदस्त
integration,एकत्रीकरण
crystal,क्रिस्टल
recession,मंदी
wish,इच्छा
top,शीर्ष
written,लिहिलेले
motive,हेतू
label,लेबल
flood,पूर
pen,पेन
ownership,मालकी
nightmare,दुःस्वप्न
notice,सूचना
inspection,तपासणी
supervisor,पर्यवेक्षक
consult,सल्ला
arena,रिंगण
laugh,हसणे
diagnosis,निदान
possession,ताबा
forgive,क्षमा करा
warm,उबदार
consistently,सातत्याने
basement,तळघर
project,प्रकल्प
drift,वाहून जाणे
drain,निचरा
last,शेवटचे
prosecution,खटला
maximum,जास्तीत जास्त
announcement,घोषणा
warrior,योद्धा
prediction,अंदाज
bacteria,जिवाणू
questionnaire,प्रश्नावली
mud,चिखल
infrastructure,पायाभूत सुविधा
hurry,घाई
privilege,विशेषाधिकार
temple,मंदिर
medium,मध्यम
outdoor,घराबाहेर
suck,चोखणे
and/or,आणि/किंवा
broadcast,प्रसारण
re,पुन्हा
leap,झेप
random,यादृच्छिक
past,भूतकाळ
wrist,मनगट
curtain,पडदा
monitor,मॉनिटर
pond,तलाव
domain,डोमेन
guilt,अपराध
cattle,गाई - गुरे
subject,विषय
walking,चालणे
playoff,प्लेऑफ
minimum,किमान
fiscal,आर्थिक
skirt,परकर
dump,डंप
hence,म्हणून
database,डेटाबेस
uncomfortable,अस्वस्थ
aim,लक्ष्य
execute,अंमलात आणणे
limb,अंग
ideology,विचारधारा
average,सरासरी
welcome,स्वागत
tune,ट्यून
continuing,चालू आहे
harm,हानी
railroad,रेल्वेमार्ग
endure,सहन
radiation,रेडिएशन
horn,हॉर्न
chronic,जुनाट
peaceful,शांततापूर्ण
innovation,नवीनता
strain,मानसिक ताण
guitar,गिटार
replacement,बदली
behave,वागणे
administer,प्रशासन
simultaneously,एकाच वेळी
dancer,नर्तक
amendment,दुरुस्ती
guard,रक्षक
pad,पॅड
transmission,संसर्ग
await,प्रतीक्षा करा
retired,सेवानिवृत्त
trigger,ट्रिगर
spill,गळती
grateful,कृतज्ञ
grace,कृपा
virtual,आभासी
response,प्रतिसाद
colony,वसाहत
adoption,दत्तक
slide,स्लाइड
indigenous,स्वदेशी
closed,बंद
convict,दोषी
civilian,नागरी
towel,टॉवेल
modify,सुधारित करा
particle,कण
award,पुरस्कार
glance,दृष्टीक्षेप
prize,बक्षीस
landing,लँडिंग
conduct,आचरण
blue,निळा
boost,चालना
bat,वटवाघूळ
alarm,गजर
festival,उत्सव
grip,पकड
weird,विचित्र
undermine,कमी करणे
freshman,नवीन
sweat,घाम
outer,बाह्य
European,युरोपियन
drunk,नशेत
survey,सर्वेक्षण
research,संशोधन
separation,वेगळे करणे
traditionally,परंपरेने
stuff,सामान
govern,शासन करणे
southeast,आग्नेय
intelligent,हुशार
wherever,कुठेही
ballot,मतपत्रिका
rhetoric,वक्तृत्व
convinced,खात्री पटली
driving,ड्रायव्हिंग
vitamin,जीवनसत्व
enthusiasm,उत्साह
accommodate,सामावून घेणे
praise,स्तुती
injure,इजा करणे
wilderness,वाळवंट
nearby,जवळपास
endless,अंतहीन
mandate,आदेश
pause,विराम द्या
excuse,माफ करा
respectively,अनुक्रमे
uncertainty,अनिश्चितता
chaos,गोंधळ
short,लहान
mechanical,यांत्रिक
canvas,कॅनव्हास
forty,चाळीस
matter,बाब
lobby,लॉबी
profound,गहन
format,स्वरूप
trait,वैशिष्ट्य
currency,चलन
turkey,टर्की
reserve,राखीव
beam,तुळई
abuse,गैरवर्तन
astronomer,खगोलशास्त्रज्ञ
corruption,भ्रष्टाचार
contractor,कंत्राटदार
apologize,माफी मागणे
doctrine,शिकवण तत्वप्रणाली
genuine,खरा
thumb,अंगठा
unity,ऐक्य
compromise,तडजोड
horrible,भयानक
behavioral,वर्तणूक
exclusive,अनन्य
scatter,विखुरणे
commonly,सामान्यतः
convey,पोहोचवणे
rush,गर्दी
twist,पिळणे
complexity,गुंतागुंत
fork,काटा
disk,डिस्क
relieve,आराम
suspicion,संशय
lock,कुलूप
finish,समाप्त
residence,निवासस्थान
shame,लाज
meaningful,अर्थपूर्ण
sidewalk,फुटपाथ
Olympics,ऑलिंपिक
technological,तांत्रिक
signature,स्वाक्षरी
pleasant,आनंददायी
wow,व्वा
suspend,निलंबित
rebel,बंडखोर
frozen,गोठलेले
desire,इच्छा
spouse,जोडीदार
fluid,द्रवपदार्थ
pension,पेन्शन
resume,पुन्हा सुरू करा
theoretical,सैद्धांतिक
sodium,सोडियम
blow,फुंकणे
promotion,जाहिरात
delicate,नाजूक
forehead,कपाळ
rebuild,पुन्हा बांधणे
bounce,उसळी
electrical,विद्युत
hook,हुक
detective,गुप्तहेर
traveler,प्रवासी
click,क्लिक करा
compensation,भरपाई
signal,सिग्नल
exit,बाहेर पडा
attraction,आकर्षण
dedicate,समर्पित
altogether,संपूर्णपणे
pickup,पिकअप
carve,कोरणे
needle,सुई
belly,पोट
ship,जहाज
scare,घाबरवणे
portfolio,पोर्टफोलिओ
shuttle,शटल
invisible,अदृश्य
timing,वेळ
engagement,प्रतिबद्धता
ankle,घोटा
transaction,व्यवहार
rescue,बचाव
counterpart,समकक्ष
historically,ऐतिहासिकदृष्ट्या
firmly,घट्टपणे
mild,सौम्य
rider,स्वार
doll,बाहुली
noon,दुपार
exhibit,प्रदर्शन
amid,दरम्यान
identical,एकसारखे
precise,अचूक
anxious,चिंताग्रस्त
structural,संरचनात्मक
residential,निवासी
loud,जोरात
diagnose,निदान
carbohydrate,कार्बोहायड्रेट
liberty,स्वातंत्र्य
poster,पोस्टर
theology,धर्मशास्त्र
nonprofit,ना नफा
crawl,क्रॉल
oxygen,ऑक्सिजन
handsome,देखणा
magic,जादू
sum,बेरीज
provided,प्रदान केले
businessman,व्यापारी
promising,आशादायक
conscious,जाणीव
determination,निर्धार
donor,दाता
hers,तिचा
pastor,पाद्री
jazz,जाझ
opera,ऑपेरा
Japanese,जपानी
bite,चावणे
frame,फ्रेम
evil,वाईट
acquisition,संपादन
pit,खड्डा
hug,मिठी
wildlife,वन्यजीव
punish,शिक्षा
giant,राक्षस
primary,प्राथमिक
equity,इक्विटी
wrong,चुकीचे
doorway,दरवाजा
departure,निर्गमन
elevator,लिफ्ट
teenage,किशोरवयीन
guidance,मार्गदर्शन
happiness,आनंद
statue,पुतळा
pursuit,उद्योगधंदा
repair,दुरुस्ती
decent,सभ्य
gym,व्यायामशाळा
oral,तोंडी
clerk,कारकून
Israeli,इस्रायली
envelope,लिफाफा
reporting,अहवाल देणे
destination,गंतव्यस्थान
fist,मुठी
endorse,समर्थन
exploration,अन्वेषण
generous,उदार
bath,आंघोळ
rescue,बचाव
thereby,त्याद्वारे
overall,एकूणच
indicator,सूचक
sunlight,सूर्यप्रकाश
feedback,अभिप्राय
spectrum,स्पेक्ट्रम
purple,जांभळा
laser,लेसर
bold,धीट
reluctant,अनिच्छुक
starting,सुरू
expertise,कौशल्य
practically,व्यावहारिकदृष्ट्या
program,कार्यक्रम
picture,चित्र
tune,ट्यून
eating,खाणे
age,वय
volunteer,स्वयंसेवक
hint,इशारा
sharply,तीव्रपणे
parade,परेड
advocate,वकील
realm,क्षेत्र
ban,बंदी
strip,पट्टी
cancel,रद्द करा
blend,मिश्रण
therapist,थेरपिस्ट
slice,तुकडा
peel,सोलणे
pizza,पिझ्झा
recipient,प्राप्तकर्ता
hesitate,संकोच
flip,फ्लिप
accounting,लेखा
debate,वादविवाद
bias,पक्षपात
huh,हं
metaphor,रूपक
candle,मेणबत्ती
handle,हाताळणे
worry,काळजी
judicial,न्यायिक
entity,अस्तित्व
suffering,त्रास
full-time,पूर्ण वेळ
feel,वाटते
lamp,दिवा
garbage,कचरा
servant,नोकर
addition,या व्यतिरिक्त
regulatory,नियामक
diplomatic,मुत्सद्दी
elegant,मोहक
inside,आत
reception,रिसेप्शन
vanish,गायब होणे
automatically,आपोआप
chin,हनुवटी
trail,माग
necessity,गरज
confess,कबूल करणे
racism,वंशवाद
starter,स्टार्टर
interior,आतील
banking,बँकिंग
casual,प्रासंगिक
gravity,गुरुत्वाकर्षण
enroll,नोंदणी करा
diminish,कमी करणे
prevention,प्रतिबंध
Arab,अरब
value,मूल्य
minimize,कमी करणे
chop,तोडणे
performer,कलाकार
intent,हेतू
isolate,वेगळे करणे
pump,पंप
inventory,यादी
productive,उत्पादक
assembly,विधानसभा
civic,नागरी
silk,रेशीम
magnitude,विशालता
steep,उंच
hostage,ओलीस
collector,कलेक्टर
popularity,लोकप्रियता
kiss,चुंबन
alien,उपरा
dynamic,गतिमान
scary,भितीदायक
equation,समीकरण
angel,देवदूत
switch,स्विच
offering,अर्पण
rage,राग
photography,छायाचित्रण
repair,दुरुस्ती
toilet,शौचालय
disappointed,निराश
precious,मौल्यवान
prohibit,प्रतिबंधित करा
representative,प्रतिनिधी
content,सामग्री
realistic,वास्तववादी
Russian,रशियन
hidden,लपलेले
command,आज्ञा
tender,निविदा
wake,जागे
gathering,मेळावा
outstanding,थकबाकी
stumble,अडखळणे
lonely,एकाकी
automobile,ऑटोमोबाईल
artificial,कृत्रिम
dawn,पहाट
abstract,गोषवारा
descend,उतरणे
silly,मूर्ख
hook,हुक
tide,भरती
shared,शेअर केले
hopefully,आशेने
readily,सहजगत्या
cooperate,सहकार्य करा
revolutionary,क्रांतिकारी
romance,प्रणय
hardware,हार्डवेअर
pillow,उशी
kit,किट
cook,कूक
spread,प्रसार
continent,खंड
seal,शिक्का
circuit,सर्किट
sink,बुडणे
ruling,सत्ताधारी
shortage,कमतरता
annually,वार्षिक
lately,अलीकडे
trap,सापळा
scan,स्कॅन
fool,मूर्ख
deadline,अंतिम मुदत
rear,मागील
processing,प्रक्रिया करत आहे
ranch,कुरण
coastal,तटीय
undertake,हाती घेणे
softly,हळुवारपणे
reserve,राखीव
burning,जळत आहे
verbal,शाब्दिक
tribal,आदिवासी
ridiculous,हास्यास्पद
automatic,स्वयंचलित
diamond,हिरा
credibility,विश्वासार्हता
import,आयात
sexually,लैंगिकदृष्ट्या
spring,वसंत ऋतू
way,मार्ग
divine,दैवी
sentiment,भावना
cart,कार्ट
oversee,देखरेख
stem,खोड
elder,मोठा
pro,प्रो
inspiration,प्रेरणा
Dutch,डच
quantity,प्रमाण
trailer,झलक
mate,सोबती
o'clock,वाजले
Greek,ग्रीक
genius,अलौकिक बुद्धिमत्ता
monument,स्मारक
bid,बोली
quest,शोध
sacrifice,बलिदान
invitation,आमंत्रण
accuracy,अचूकता
juror,न्यायाधीश
officially,अधिकृतपणे
broker,दलाल
treasure,खजिना
loyalty,निष्ठा
credit,क्रेडिट
shock,धक्का
talented,प्रतिभावान
gasoline,पेट्रोल
stiff,ताठ
output,आउटपुट
nominee,नामनिर्देशित
extended,विस्तारित
please,कृपया
diabetes,मधुमेह
slap,थप्पड
toxic,विषारी
alleged,आरोप
jaw,जबडा
grief,दु:ख
mysterious,रहस्यमय
rocket,रॉकेट
donate,देणगी
inmate,कैदी
tackle,हाताळणे
dynamics,गतिशीलता
bow,धनुष्य
ours,आमचे
senior,वरिष्ठ
dignity,प्रतिष्ठा
carpet,कार्पेट
parental,पालक
bubble,बबल
heat,उष्णता
buddy,मित्र
barn,धान्याचे कोठार
sword,तलवार
flash,फ्लॅश
seventh,सातवा
glory,गौरव
tightly,घट्ट
protective,संरक्षणात्मक
tuck,टक
drum,ड्रम
faint,बेहोश
post,पोस्ट
queen,राणी
dilemma,कोंडी
input,इनपुट
specialize,विशेषज्ञ
northeast,ईशान्य
shallow,उथळ
liability,दायित्व
sail,पाल
merchant,व्यापारी
stadium,स्टेडियम
improved,सुधारित
bloody,रक्तरंजित
defeat,पराभव
associated,संबंधित
withdrawal,पैसे काढणे
refrigerator,रेफ्रिजरेटर
nest,घरटे
near,जवळ
thoroughly,पूर्णपणे
lane,लेन
ancestor,पूर्वज
condemn,निंदा
steam,वाफ
accent,उच्चारण
escape,सुटणे
optimistic,आशावादी
unite,एकत्र येणे
cage,पिंजरा
equip,सुसज्ज करणे
shrimp,कोळंबी
homeland,जन्मभुमी
exchange,देवाणघेवाण
rack,रॅक
costume,पोशाख
wolf,लांडगा
courtroom,कोर्टरूम
statute,कायदा
cartoon,व्यंगचित्र
besides,याशिवाय
productivity,उत्पादकता
grin,हसणे
symbolic,प्रतीकात्मक
seal,शिक्का
bug,किडा
bless,आशीर्वाद
aunt,काकू
agriculture,शेती
rock,खडक
hostile,विरोधी
root,मूळ
conceive,विचार
combined,एकत्रित
instantly,त्वरित
bankruptcy,दिवाळखोरी
vaccine,लस
bonus,बोनस
collaboration,सहयोग
mixed,मिश्र
opposed,विरोध केला
orbit,कक्षा
grasp,पकड
patience,संयम
spite,असूनही
tropical,उष्णकटिबंधीय
voting,मतदान
patrol,गस्त
willingness,इच्छा
position,स्थिती
revelation,प्रकटीकरण
rent,भाडे
calm,शांत
jewelry,दागिने
hay,गवत
haul,ओढणे
concede,कबूल करणे
trace,ट्रेस
wagon,वॅगन
afterward,नंतर
spectacular,नेत्रदीपक
ruin,नाश
sheer,निखळ
prior,आधी
immune,रोगप्रतिकारक
reliability,विश्वसनीयता
ass,गाढव
alongside,बाजूने
bush,झुडूप
exotic,विदेशी
fascinating,आकर्षक
secure,सुरक्षित
clip,क्लिप
thigh,मांडी
bull,बैल
drawer,ड्रॉवर
regard,आदर
sheep,मेंढ्या
discourage,परावृत्त करणे
coordinator,समन्वयक
ideological,वैचारिक
runner,धावपटू
secular,धर्मनिरपेक्ष
intimate,अंतरंग
empire,साम्राज्य
cab,टँक्सी
divorce,घटस्फोट
exam,परीक्षा
documentary,माहितीपट
neutral,तटस्थ
biology,जीवशास्त्र
flexible,लवचिक
progressive,प्रगतीशील
web,वेब
conspiracy,कट
catch,झेल
casualty,अपघात
republic,प्रजासत्ताक
execution,अंमलबजावणी
terrific,भयानक
whale,देवमासा
functional,कार्यशील
star,तारा
draft,मसुदा
instinct,अंतःप्रेरणा
teammate,सहकारी
aluminum,ॲल्युमिनियम
whoever,जो कोणी
ministry,मंत्रालय
verdict,निर्णय
instruct,सूचना
skull,कवटी
self-esteem,स्वत: ची प्रशंसा
ease,सहजता
cooperative,सहकारी
manipulate,हाताळणे
bee,मधमाशी
practitioner,व्यवसायी
loop,पळवाट
edit,सुधारणे
whip,चाबूक
puzzle,कोडे
mushroom,मशरूम
subsidy,अनुदान
boil,उकळणे
tragic,दुःखद
mathematics,गणित
mechanic,मेकॅनिक
jar,जर
respect,आदर
earthquake,भूकंप
pork,डुकराचे मांस
creativity,सर्जनशीलता
safely,सुरक्षितपणे
underlying,अंतर्निहित
dessert,मिष्टान्न
sympathy,सहानुभूती
fisherman,मच्छीमार
incredibly,विश्वास बसणार नाही इतका
isolation,अलगीकरण
sock,मोजे
near,जवळ
jump,उडी
eleven,अकरा
sexy,सेक्सी
entrepreneur,उद्योजक
syndrome,सिंड्रोम
bureau,ब्युरो
seat,आसन
workplace,कामाची जागा
ambition,महत्वाकांक्षा
touchdown,टचडाउन
utilize,वापरणे
breeze,वाऱ्याची झुळूक
costly,महाग
ambitious,महत्वाकांक्षी
Christianity,ख्रिश्चन धर्म
presumably,शक्यतो
influential,प्रभावशाली
translation,भाषांतर
uncertain,अनिश्चित
dissolve,विरघळणे
object,वस्तू
statistical,सांख्यिकीय
gut,आतडे
metropolitan,महानगर
rolling,रोलिंग
aesthetic,सौंदर्याचा
spell,शब्दलेखन
insert,घाला
booth,बूथ
helmet,शिरस्त्राण
waist,कंबर
expected,अपेक्षित
lion,सिंह
accomplishment,सिद्धी
royal,राजेशाही
panic,घबराट
cast,कास्ट
crush,क्रश
